17:47:40.165: Position 1: YW36
17:48:15.116: Message received: team6,robot,1,plate
17:48:15.116: Awarded: 0 pts
17:48:15.186: Message received: team6,robot,1,plate
17:48:15.187: Awarded: 0 pts
17:48:15.252: Message received: team6,robot,1,plate
17:48:15.253: Awarded: 0 pts
17:48:15.317: Message received: team6,robot,1,plate
17:48:15.318: Awarded: 0 pts
17:48:15.388: Message received: team6,robot,1,plate
17:48:15.389: Awarded: 0 pts
17:48:15.455: Message received: team6,robot,1,plate
17:48:15.455: Awarded: 0 pts
17:48:15.519: Message received: team6,robot,1,plate
17:48:15.519: Awarded: 0 pts
17:48:15.588: Message received: team6,robot,1,plate
17:48:15.589: Awarded: 0 pts
17:48:15.661: Message received: team6,robot,1,plate
17:48:15.661: Awarded: 0 pts
17:48:15.728: Message received: team6,robot,1,plate
17:48:15.728: Awarded: 0 pts
17:48:15.796: Message received: team6,robot,1,plate
17:48:15.797: Awarded: 0 pts
17:48:15.866: Message received: team6,robot,1,plate
17:48:15.867: Awarded: 0 pts
17:48:15.930: Message received: team6,robot,1,plate
17:48:15.931: Awarded: 0 pts
17:48:15.996: Message received: team6,robot,1,plate
17:48:15.996: Awarded: 0 pts
17:48:16.061: Message received: team6,robot,1,plate
17:48:16.061: Awarded: 0 pts
17:48:16.125: Message received: team6,robot,1,plate
17:48:16.126: Awarded: 0 pts
17:48:16.198: Message received: team6,robot,1,plate
17:48:16.198: Awarded: 0 pts
17:48:16.261: Message received: team6,robot,1,plate
17:48:16.262: Awarded: 0 pts
17:48:16.331: Message received: team6,robot,1,plate
17:48:16.334: Awarded: 0 pts
17:48:17.003: Message received: team6,robot,1,plate
17:48:17.004: Awarded: 0 pts
17:49:35.209: Full lap completed: +5 points
17:49:35.209: Team total: 5 pts
17:49:36.767: Full lap completed already awarded points.
17:49:37.047: Full lap completed already awarded points.
17:49:38.799: Full lap completed already awarded points.
