17:56:33.964: Position 1: EG46
17:57:11.257: Message received: team6,robot,1,plate
17:57:11.257: Awarded: 0 pts
17:57:11.363: Message received: team6,robot,1,plate
17:57:11.364: Awarded: 0 pts
17:57:11.472: Message received: team6,robot,1,plate
17:57:11.473: Awarded: 0 pts
17:57:11.579: Message received: team6,robot,1,plate
17:57:11.579: Awarded: 0 pts
17:57:11.686: Message received: team6,robot,1,plate
17:57:11.687: Awarded: 0 pts
17:57:11.792: Message received: team6,robot,1,plate
17:57:11.792: Awarded: 0 pts
17:57:11.898: Message received: team6,robot,1,plate
17:57:11.899: Awarded: 0 pts
17:57:12.008: Message received: team6,robot,1,plate
17:57:12.009: Awarded: 0 pts
17:57:12.114: Message received: team6,robot,1,plate
17:57:12.115: Awarded: 0 pts
17:57:12.223: Message received: team6,robot,1,plate
17:57:12.224: Awarded: 0 pts
17:57:12.328: Message received: team6,robot,1,plate
17:57:12.329: Awarded: 0 pts
17:57:12.434: Message received: team6,robot,1,plate
17:57:12.435: Awarded: 0 pts
17:57:12.539: Message received: team6,robot,1,plate
17:57:12.540: Awarded: 0 pts
17:57:12.645: Message received: team6,robot,1,plate
17:57:12.646: Awarded: 0 pts
17:57:12.750: Message received: team6,robot,1,plate
17:57:12.751: Awarded: 0 pts
17:57:12.859: Message received: team6,robot,1,plate
17:57:12.860: Awarded: 0 pts
17:57:12.965: Message received: team6,robot,1,plate
17:57:12.967: Awarded: 0 pts
17:57:13.375: Message received: team6,robot,1,plate
17:57:13.376: Awarded: 0 pts
17:57:13.428: Message received: team6,robot,1,plate
17:57:13.429: Awarded: 0 pts
17:57:13.484: Message received: team6,robot,1,plate
17:57:13.485: Awarded: 0 pts
17:57:13.539: Message received: team6,robot,1,plate
17:57:13.540: Awarded: 0 pts
17:57:13.591: Message received: team6,robot,1,plate
17:57:13.592: Awarded: 0 pts
17:57:13.643: Message received: team6,robot,1,plate
17:57:13.644: Awarded: 0 pts
17:57:13.693: Message received: team6,robot,1,plate
17:57:13.694: Awarded: 0 pts
17:57:13.742: Message received: team6,robot,1,plate
17:57:13.743: Awarded: 0 pts
17:57:13.790: Message received: team6,robot,1,plate
17:57:13.791: Awarded: 0 pts
17:57:13.838: Message received: team6,robot,1,plate
17:57:13.840: Awarded: 0 pts
17:57:13.890: Message received: team6,robot,1,plate
17:57:13.892: Awarded: 0 pts
17:57:13.942: Message received: team6,robot,1,plate
17:57:13.943: Awarded: 0 pts
17:57:13.991: Message received: team6,robot,1,plate
17:57:13.992: Awarded: 0 pts
17:57:14.043: Message received: team6,robot,1,plate
17:57:14.045: Awarded: 0 pts
17:57:14.099: Message received: team6,robot,1,plate
17:57:14.100: Awarded: 0 pts
17:57:14.147: Message received: team6,robot,1,plate
17:57:14.148: Awarded: 0 pts
17:57:14.196: Message received: team6,robot,1,plate
17:57:14.196: Awarded: 0 pts
17:57:14.253: Message received: team6,robot,1,plate
17:57:14.254: Awarded: 0 pts
17:57:14.309: Message received: team6,robot,1,plate
17:57:14.310: Awarded: 0 pts
17:57:14.364: Message received: team6,robot,1,plate
17:57:14.365: Awarded: 0 pts
17:57:14.411: Message received: team6,robot,1,plate
17:57:14.412: Awarded: 0 pts
17:57:14.460: Message received: team6,robot,1,plate
17:57:14.461: Awarded: 0 pts
17:57:14.508: Message received: team6,robot,1,plate
17:57:14.509: Awarded: 0 pts
17:57:14.572: Message received: team6,robot,1,plate
17:57:14.573: Awarded: 0 pts
17:57:14.641: Message received: team6,robot,1,plate
17:57:14.642: Awarded: 0 pts
17:57:14.706: Message received: team6,robot,1,plate
17:57:14.707: Awarded: 0 pts
17:57:14.775: Message received: team6,robot,1,plate
17:57:14.776: Awarded: 0 pts
17:57:14.843: Message received: team6,robot,1,plate
17:57:14.844: Awarded: 0 pts
17:57:14.911: Message received: team6,robot,1,plate
17:57:14.912: Awarded: 0 pts
17:57:14.978: Message received: team6,robot,1,plate
17:57:14.979: Awarded: 0 pts
17:57:15.045: Message received: team6,robot,1,plate
17:57:15.045: Awarded: 0 pts
17:57:15.115: Message received: team6,robot,1,plate
17:57:15.116: Awarded: 0 pts
17:57:15.183: Message received: team6,robot,1,plate
17:57:15.184: Awarded: 0 pts
17:57:15.250: Message received: team6,robot,1,plate
17:57:15.251: Awarded: 0 pts
17:57:15.315: Message received: team6,robot,1,plate
17:57:15.315: Awarded: 0 pts
17:57:15.383: Message received: team6,robot,1,plate
17:57:15.384: Awarded: 0 pts
17:57:15.449: Message received: team6,robot,1,plate
17:57:15.450: Awarded: 0 pts
17:57:15.517: Message received: team6,robot,1,plate
17:57:15.518: Awarded: 0 pts
17:57:15.584: Message received: team6,robot,1,plate
17:57:15.585: Awarded: 0 pts
17:57:15.653: Message received: team6,robot,1,plate
17:57:15.654: Awarded: 0 pts
17:57:15.724: Message received: team6,robot,1,plate
17:57:15.724: Awarded: 0 pts
17:57:15.789: Message received: team6,robot,1,plate
17:57:15.790: Awarded: 0 pts
17:57:15.856: Message received: team6,robot,1,plate
17:57:15.856: Awarded: 0 pts
17:57:15.923: Message received: team6,robot,1,plate
17:57:15.924: Awarded: 0 pts
17:57:15.990: Message received: team6,robot,1,plate
17:57:15.992: Awarded: 0 pts
17:57:16.060: Message received: team6,robot,1,plate
17:57:16.061: Awarded: 0 pts
17:57:16.131: Message received: team6,robot,1,plate
17:57:16.132: Awarded: 0 pts
17:57:16.203: Message received: team6,robot,1,plate
17:57:16.204: Awarded: 0 pts
17:57:16.268: Message received: team6,robot,1,plate
17:57:16.269: Awarded: 0 pts
17:57:16.333: Message received: team6,robot,1,plate
17:57:16.334: Awarded: 0 pts
17:57:16.399: Message received: team6,robot,1,plate
17:57:16.400: Awarded: 0 pts
17:57:16.465: Message received: team6,robot,1,plate
17:57:16.465: Awarded: 0 pts
17:57:16.533: Message received: team6,robot,1,plate
17:57:16.534: Awarded: 0 pts
17:57:16.603: Message received: team6,robot,1,plate
17:57:16.603: Awarded: 0 pts
17:57:16.670: Message received: team6,robot,1,plate
17:57:16.671: Awarded: 0 pts
17:57:16.735: Message received: team6,robot,1,plate
17:57:16.736: Awarded: 0 pts
17:57:16.807: Message received: team6,robot,1,plate
17:57:16.807: Awarded: 0 pts
17:57:16.876: Message received: team6,robot,1,plate
17:57:16.877: Awarded: 0 pts
17:57:16.942: Message received: team6,robot,1,plate
17:57:16.942: Awarded: 0 pts
17:57:17.007: Message received: team6,robot,1,plate
17:57:17.007: Awarded: 0 pts
17:57:17.079: Message received: team6,robot,1,plate
17:57:17.080: Awarded: 0 pts
17:57:17.149: Message received: team6,robot,1,plate
17:57:17.150: Awarded: 0 pts
17:57:17.219: Message received: team6,robot,1,plate
17:57:17.220: Awarded: 0 pts
17:57:17.284: Message received: team6,robot,1,plate
17:57:17.285: Awarded: 0 pts
17:57:17.346: Message received: team6,robot,1,plate
17:57:17.346: Awarded: 0 pts
17:57:17.419: Message received: team6,robot,1,plate
17:57:17.419: Awarded: 0 pts
17:57:17.481: Message received: team6,robot,1,plate
17:57:17.482: Awarded: 0 pts
17:57:17.548: Message received: team6,robot,1,plate
17:57:17.548: Awarded: 0 pts
17:57:17.614: Message received: team6,robot,1,plate
17:57:17.615: Awarded: 0 pts
17:57:17.680: Message received: team6,robot,1,plate
17:57:17.680: Awarded: 0 pts
17:57:17.747: Message received: team6,robot,1,plate
17:57:17.747: Awarded: 0 pts
17:57:17.816: Message received: team6,robot,1,plate
17:57:17.817: Awarded: 0 pts
17:57:17.884: Message received: team6,robot,1,plate
17:57:17.885: Awarded: 0 pts
17:57:17.954: Message received: team6,robot,1,plate
17:57:17.955: Awarded: 0 pts
17:57:18.020: Message received: team6,robot,1,plate
17:57:18.021: Awarded: 0 pts
17:57:18.087: Message received: team6,robot,1,plate
17:57:18.088: Awarded: 0 pts
17:57:18.155: Message received: team6,robot,1,plate
17:57:18.156: Awarded: 0 pts
17:57:18.223: Message received: team6,robot,1,plate
17:57:18.224: Awarded: 0 pts
17:57:18.292: Message received: team6,robot,1,plate
17:57:18.293: Awarded: 0 pts
17:57:18.359: Message received: team6,robot,1,plate
17:57:18.360: Awarded: 0 pts
17:57:18.426: Message received: team6,robot,1,plate
17:57:18.427: Awarded: 0 pts
17:57:18.495: Message received: team6,robot,1,plate
17:57:18.495: Awarded: 0 pts
17:57:18.558: Message received: team6,robot,1,plate
17:57:18.559: Awarded: 0 pts
17:57:18.625: Message received: team6,robot,1,plate
17:57:18.626: Awarded: 0 pts
17:57:18.700: Message received: team6,robot,1,plate
17:57:18.701: Awarded: 0 pts
17:57:18.763: Message received: team6,robot,1,plate
17:57:18.764: Awarded: 0 pts
17:57:18.829: Message received: team6,robot,1,plate
17:57:18.830: Awarded: 0 pts
17:57:18.899: Message received: team6,robot,1,plate
17:57:18.900: Awarded: 0 pts
17:57:18.963: Message received: team6,robot,1,plate
17:57:18.964: Awarded: 0 pts
17:57:19.033: Message received: team6,robot,1,plate
17:57:19.034: Awarded: 0 pts
17:57:19.058: Message received: team6,robot,-1,stop
17:57:19.099: Message received: team6,robot,1,plate
17:57:19.100: Awarded: 0 pts
17:57:19.165: Message received: team6,robot,1,plate
17:57:19.166: Awarded: 0 pts
17:57:19.237: Message received: team6,robot,1,plate
17:57:19.238: Awarded: 0 pts
17:57:19.305: Message received: team6,robot,1,plate
17:57:19.305: Awarded: 0 pts
17:57:19.373: Message received: team6,robot,1,plate
17:57:19.374: Awarded: 0 pts
17:57:19.439: Message received: team6,robot,1,plate
17:57:19.439: Awarded: 0 pts
17:57:19.509: Message received: team6,robot,1,plate
17:57:19.509: Awarded: 0 pts
17:57:19.579: Message received: team6,robot,1,plate
17:57:19.580: Awarded: 0 pts
17:57:19.645: Message received: team6,robot,1,plate
17:57:19.645: Awarded: 0 pts
17:57:19.708: Message received: team6,robot,1,plate
17:57:19.709: Awarded: 0 pts
17:57:19.776: Message received: team6,robot,1,plate
17:57:19.777: Awarded: 0 pts
17:57:19.850: Message received: team6,robot,1,plate
17:57:19.850: Awarded: 0 pts
17:57:19.914: Message received: team6,robot,1,plate
17:57:19.915: Awarded: 0 pts
17:57:19.983: Message received: team6,robot,1,plate
17:57:19.983: Awarded: 0 pts
17:57:20.046: Message received: team6,robot,1,plate
17:57:20.047: Awarded: 0 pts
17:57:20.116: Message received: team6,robot,1,plate
17:57:20.117: Awarded: 0 pts
17:57:20.186: Message received: team6,robot,1,plate
17:57:20.186: Awarded: 0 pts
17:57:20.253: Message received: team6,robot,1,plate
17:57:20.253: Awarded: 0 pts
17:57:20.318: Message received: team6,robot,1,plate
17:57:20.319: Awarded: 0 pts
17:57:20.386: Message received: team6,robot,1,plate
17:57:20.386: Awarded: 0 pts
17:57:20.455: Message received: team6,robot,1,plate
17:57:20.456: Awarded: 0 pts
17:57:20.530: Message received: team6,robot,1,plate
17:57:20.530: Awarded: 0 pts
17:57:20.591: Message received: team6,robot,1,plate
17:57:20.592: Awarded: 0 pts
17:57:20.656: Message received: team6,robot,1,plate
17:57:20.657: Awarded: 0 pts
17:57:20.725: Message received: team6,robot,1,plate
17:57:20.726: Awarded: 0 pts
17:57:20.796: Message received: team6,robot,1,plate
17:57:20.797: Awarded: 0 pts
